^SAMPLE = GSM171895
!Sample_title = HBEC3-KT
!Sample_geo_accession = GSM171895
!Sample_status = Public on Mar 07 2007
!Sample_submission_date = Feb 26 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Human Bronchial Epithelial Cell
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Histology: immortalized normal
!Sample_characteristics_ch1 = Age: 65
!Sample_characteristics_ch1 = Sex: F
!Sample_characteristics_ch1 = Race:
!Sample_biomaterial_provider_ch1 = Hamon Center for Therapeutic Oncology Research, UT Southwestern Medical Center
!Sample_growth_protocol_ch1 = KSFM supplemented with EGF and BPE
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy kit including DNase1 treatment
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA was prepared according to standard Affymetrix protocol from 5 microgram total RNA
!Sample_hyb_protocol = Following fragmentation, 20 microg of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A
!Sample_description = Immortalized with CDK4 and hTERT
!Sample_data_processing = Data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 250
!Sample_platform_id = GPL570
!Sample_contact_name = Luc,,Girard
!Sample_contact_email = Luc.Girard@UTSouthwestern.edu
!Sample_contact_laboratory = NB8.114A
!Sample_contact_department = Hamon Center for Therapeutic Oncology Research
!Sample_contact_institute = UT Southwestern Medical Center
!Sample_contact_address = 5323 Harry Hines Blvd
!Sample_contact_city = Dallas
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 75390-8593
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM171nnn/GSM171895/suppl/GSM171895.CEL.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE4824
!Sample_data_row_count = 54675
#ID_REF = Affymetrix IDs
#Stat Pairs = Number of probe pairs
#Stat Pairs Used = Number of probe pairs (unmasked)
#VALUE = MAS5-calculated Signal intensity
#ABS_CALL = the call in an absolute analysis that indicates if the transcript was present (P), absent (A), marginal (M), or no call (NC)
#DETECTION P-VALUE = p-value that indicates the significance level of the detection call
!sample_table_begin
ID_REF	Stat Pairs	Stat Pairs Used	VALUE	ABS_CALL	DETECTION P-VALUE
212206_s_at	11	11	337.9	A	0.080566
212207_at	11	11	320.8	P	0.001221
212208_at	11	11	311.4	P	0.000244
212209_at	11	11	533.4	P	0.000244
212210_at	11	11	32.5	A	0.334473
212211_at	11	11	639.6	P	0.000732
212212_s_at	11	11	367.5	P	0.005859
212213_x_at	11	11	773.1	P	0.000244
212214_at	11	11	485.5	A	0.095215
212215_at	11	11	1402.1	P	0.000244
212216_at	11	11	285.9	P	0.000732
212217_at	11	11	344.3	P	0.000244
212218_s_at	11	11	720.7	P	0.000244
212219_at	11	11	1088.5	P	0.000244
212220_at	11	11	229.2	P	0.001221
212221_x_at	11	11	1409.8	P	0.000244
212222_at	11	11	461.3	P	0.000732
212223_at	11	11	608.4	P	0.000732
212224_at	11	11	42.3	A	0.303711
212225_at	11	11	1179.7	P	0.000244
212226_s_at	11	11	50.3	A	0.303711
212227_x_at	11	11	10330.8	P	0.000244
212228_s_at	11	11	599.6	P	0.018555
212229_s_at	11	11	402.7	P	0.000244
212230_at	11	11	88.4	P	0.023926
212231_at	11	11	849.7	P	0.000732
212232_at	11	11	759.0	P	0.000244
212233_at	11	11	379.0	P	0.000244
212234_at	11	11	391.8	A	0.080566
212235_at	11	11	3.6	A	0.989258
212236_x_at	11	11	16727.3	P	0.000244
212237_at	11	11	494.2	P	0.000244
212238_at	11	11	286.1	P	0.000244
212239_at	11	11	1631.0	P	0.000244
212240_s_at	11	11	325.8	P	0.000244
212241_at	11	11	318.2	P	0.000732
212242_at	11	11	3550.9	P	0.000244
212243_at	11	11	442.3	P	0.000732
212244_at	11	11	1394.1	P	0.000244
212245_at	11	11	2218.6	P	0.000244
212246_at	11	11	420.9	P	0.000244
212247_at	11	11	663.5	P	0.000244
212248_at	11	11	1610.0	P	0.000244
212249_at	11	11	114.9	P	0.018555
212250_at	11	11	2288.4	P	0.000244
212251_at	11	11	1685.4	P	0.000244
212252_at	11	11	288.0	P	0.014160
212253_x_at	11	11	123.4	A	0.219482
212254_s_at	11	11	1012.3	P	0.000244
212255_s_at	11	11	1177.0	P	0.000732
212256_at	11	11	292.3	P	0.014160
212257_s_at	11	11	117.4	P	0.000244
212258_s_at	11	11	4.9	A	0.725830
212259_s_at	11	11	86.2	A	0.274170
212260_at	11	11	259.1	P	0.018555
212261_at	11	11	415.4	P	0.000244
212262_at	11	11	454.4	P	0.001221
212263_at	11	11	1897.0	P	0.000244
212264_s_at	11	11	440.7	P	0.000244
212265_at	11	11	2646.5	P	0.000244
212266_s_at	11	11	4137.7	P	0.000732
212267_at	11	11	660.8	P	0.000244
212268_at	11	11	1239.5	P	0.000244
212269_s_at	11	11	271.3	P	0.018555
212270_x_at	11	11	13199.3	P	0.000244
212271_at	11	11	1069.0	P	0.000244
212272_at	11	11	52.2	A	0.067627
212273_x_at	11	11	10489.0	P	0.000244
212274_at	11	11	589.3	P	0.000732
212275_s_at	11	11	12.6	A	0.780518
212276_at	11	11	664.0	P	0.000244
212277_at	11	11	529.9	P	0.001953
212278_x_at	11	11	6.0	A	0.533936
212279_at	11	11	181.0	P	0.001221
212280_x_at	11	11	270.4	P	0.000244
212281_s_at	11	11	494.1	P	0.000244
212282_at	11	11	482.5	P	0.000244
212283_at	11	11	31.3	A	0.432373
212284_x_at	11	11	17282.5	P	0.000244
212285_s_at	11	11	1103.4	P	0.000244
212286_at	11	11	151.1	P	0.023926
212287_at	11	11	899.1	P	0.000244
212288_at	11	11	513.4	P	0.001953
212289_at	11	11	203.0	P	0.018555
212290_at	11	11	107.3	A	0.171387
212291_at	11	11	38.9	A	0.533936
212292_at	11	11	63.0	P	0.046143
212293_at	11	11	811.0	P	0.002930
212294_at	11	11	3119.3	P	0.000732
212295_s_at	11	11	2730.1	P	0.000244
212296_at	11	11	2323.9	P	0.000244
212297_at	11	11	2528.0	P	0.000244
212298_at	11	11	496.9	P	0.000244
212299_at	11	11	363.2	P	0.030273
212300_at	11	11	312.4	P	0.010742
212301_at	11	11	1020.9	P	0.000244
212302_at	11	11	339.2	P	0.001953
212303_x_at	11	11	52.5	A	0.398926
212305_s_at	11	11	257.1	P	0.004150
212306_at	11	11	702.6	P	0.008057
212307_s_at	11	11	579.5	P	0.000244
212308_at	11	11	156.6	P	0.001953
212309_at	11	11	299.3	P	0.037598
212310_at	11	11	139.7	P	0.014160
212311_at	11	11	531.4	P	0.000244
212312_at	11	11	803.0	P	0.000732
212313_at	11	11	350.9	P	0.008057
212314_at	11	11	1379.0	P	0.000732
212315_s_at	11	11	55.6	A	0.334473
212316_at	11	11	23.9	A	0.466064
212317_at	11	11	750.7	P	0.014160
212318_at	11	11	695.2	P	0.000244
212319_at	11	11	58.3	A	0.334473
212320_at	11	11	4745.7	P	0.000244
212321_at	11	11	778.5	P	0.000732
212322_at	11	11	1096.0	P	0.000244
212323_s_at	11	11	464.5	P	0.000244
212324_s_at	11	11	356.4	P	0.023926
212325_at	11	11	76.6	A	0.080566
212326_at	11	11	420.0	A	0.067627
212327_at	11	11	71.5	A	0.129639
212328_at	11	11	3.2	A	0.904785
212329_at	11	11	662.7	P	0.000244
212330_at	11	11	883.3	P	0.000244
212331_at	11	11	1944.0	P	0.000244
212332_at	11	11	123.0	P	0.037598
212333_at	11	11	743.5	P	0.000244
212334_at	11	11	1733.0	P	0.000244
212335_at	11	11	643.6	P	0.000244
212336_at	11	11	39.3	A	0.129639
212337_at	11	11	689.9	P	0.000244
212338_at	11	11	728.4	P	0.001221
212339_at	11	11	86.3	A	0.398926
212340_at	11	11	385.8	P	0.001953
212341_at	11	11	203.3	P	0.000244
212342_at	11	11	173.5	P	0.010742
212343_at	11	11	75.1	A	0.129639
212344_at	11	11	178.1	P	0.002930
212345_s_at	11	11	1283.3	P	0.000244
212346_s_at	11	11	249.7	P	0.037598
212347_x_at	11	11	271.7	A	0.067627
212348_s_at	11	11	916.6	P	0.001953
212349_at	11	11	330.9	P	0.008057
212350_at	11	11	502.5	P	0.002930
212351_at	11	11	405.7	P	0.000732
212352_s_at	11	11	6969.8	P	0.000244
212353_at	11	11	194.4	M	0.056152
212354_at	11	11	233.0	P	0.004150
212355_at	11	11	705.1	P	0.001221
212356_at	11	11	353.2	P	0.008057
212357_at	11	11	601.9	P	0.004150
212358_at	11	11	18.0	A	0.665527
212359_s_at	11	11	451.0	P	0.001221
212360_at	11	11	385.8	P	0.018555
212361_s_at	11	11	2026.8	P	0.000732
212362_at	11	11	258.8	P	0.005859
212363_x_at	11	11	13911.9	P	0.000244
212364_at	11	11	6509.9	P	0.000244
212365_at	11	11	4460.2	P	0.000244
212366_at	11	11	358.2	P	0.000732
212367_at	11	11	1139.9	P	0.000244
212368_at	11	11	250.5	P	0.000244
212369_at	11	11	490.7	P	0.014160
212370_x_at	11	11	1014.2	P	0.004150
212371_at	11	11	1420.1	P	0.000244
212372_at	11	11	1511.5	P	0.000244
212373_at	11	11	1082.0	P	0.000244
212374_at	11	11	291.1	P	0.002930
212375_at	11	11	359.9	P	0.014160
212376_s_at	11	11	261.7	M	0.056152
212377_s_at	11	11	1784.8	P	0.000732
212378_at	11	11	564.3	P	0.000244
212379_at	11	11	327.2	A	0.111572
212380_at	11	11	317.6	P	0.023926
212381_at	11	11	331.3	P	0.000732
212382_at	11	11	71.8	P	0.046143
212383_at	11	11	402.2	P	0.004150
212384_at	11	11	44.0	A	0.219482
212385_at	11	11	108.0	P	0.010742
212386_at	11	11	793.8	P	0.000244
212387_at	11	11	354.0	P	0.014160
212388_at	11	11	664.7	P	0.001953
212389_at	11	11	14.7	A	0.850342
212390_at	11	11	397.3	P	0.018555
212391_x_at	11	11	18665.2	P	0.000244
212392_s_at	11	11	250.9	P	0.008057
212393_at	11	11	155.9	A	0.111572
212394_at	11	11	170.2	P	0.001953
212395_s_at	11	11	213.1	P	0.005859
212396_s_at	11	11	404.4	P	0.001953
212397_at	11	11	3143.7	P	0.000244
212398_at	11	11	983.7	P	0.000244
212399_s_at	11	11	840.6	P	0.000244
212400_at	11	11	256.9	M	0.056152
212401_s_at	11	11	750.4	P	0.001221
212402_at	11	11	593.9	P	0.008057
212403_at	11	11	517.5	P	0.001221
212404_s_at	11	11	90.8	A	0.129639
212405_s_at	11	11	420.9	P	0.023926
212406_s_at	11	11	1333.8	P	0.000244
212407_at	11	11	191.0	P	0.005859
212408_at	11	11	1014.0	P	0.000244
212409_s_at	11	11	350.2	P	0.010742
212410_at	11	11	1362.3	P	0.000244
212411_at	11	11	744.3	P	0.005859
212412_at	11	11	4428.0	P	0.000244
212413_at	11	11	67.3	A	0.366211
212414_s_at	11	11	39.6	A	0.398926
212415_at	11	11	10.2	A	0.725830
212416_at	11	11	2892.1	P	0.000244
212417_at	11	11	742.2	P	0.000732
212418_at	11	11	812.3	P	0.000244
212419_at	11	11	133.3	A	0.149658
212420_at	11	11	246.1	P	0.037598
212421_at	11	11	628.3	P	0.000244
212422_at	11	11	409.5	P	0.030273
212423_at	11	11	26.9	A	0.633789
212424_at	11	11	269.7	A	0.219482
212425_at	11	11	152.6	P	0.000244
212426_s_at	11	11	9442.7	P	0.000244
212427_at	11	11	163.6	P	0.002930
212428_at	11	11	1492.4	P	0.000244
212429_s_at	11	11	522.7	P	0.037598
212430_at	11	11	116.5	P	0.008057
212431_at	11	11	429.0	A	0.129639
212432_at	11	11	1071.2	P	0.000732
212433_x_at	11	11	15545.1	P	0.000244
212434_at	11	11	861.0	P	0.004150
212435_at	11	11	459.1	P	0.001221
212436_at	11	11	243.0	P	0.005859
212437_at	11	11	170.7	P	0.005859
212438_at	11	11	959.4	P	0.000244
212439_at	11	11	233.1	P	0.014160
212440_at	11	11	888.0	P	0.002930
212441_at	11	11	567.7	P	0.010742
212442_s_at	11	11	1224.9	P	0.000244
212443_at	11	11	638.9	P	0.001953
212444_at	11	11	1484.6	P	0.000244
212445_s_at	11	11	552.0	P	0.000732
212446_s_at	11	11	1403.3	P	0.000244
212447_at	11	11	416.7	P	0.000244
212448_at	11	11	165.2	A	0.194580
212449_s_at	11	11	5305.3	P	0.000244
212450_at	11	11	347.5	P	0.000244
212451_at	11	11	77.6	A	0.246094
212452_x_at	11	11	123.7	P	0.030273
212453_at	11	11	797.8	P	0.000244
212454_x_at	11	11	2899.9	P	0.000244
212455_at	11	11	1781.6	P	0.000732
212456_at	11	11	249.2	P	0.001953
212457_at	11	11	989.9	P	0.000244
212458_at	11	11	579.3	P	0.000244
212459_x_at	11	11	2117.9	P	0.000244
212460_at	11	11	1833.9	P	0.000244
212461_at	11	11	1953.4	P	0.000244
212462_at	11	11	436.4	P	0.000244
212463_at	11	11	4117.3	P	0.000244
212464_s_at	11	11	16579.1	P	0.000244
212465_at	11	11	553.5	P	0.005859
212466_at	11	11	16.6	A	0.432373
212467_at	11	11	797.7	P	0.000732
212468_at	11	11	46.6	P	0.010742
212469_at	11	11	418.8	A	0.080566
212470_at	11	11	1004.4	P	0.000244
212471_at	11	11	123.9	A	0.149658
212472_at	11	11	869.3	P	0.000244
212473_s_at	11	11	1410.4	P	0.000244
212474_at	11	11	745.7	P	0.000732
212475_at	11	11	114.9	P	0.046143
212476_at	11	11	1832.5	P	0.000244
212477_at	11	11	10.7	A	0.533936
212478_at	11	11	16.6	A	0.780518
212479_s_at	11	11	119.5	P	0.004150
212480_at	11	11	286.4	A	0.129639
212481_s_at	11	11	2345.7	P	0.000244
212482_at	11	11	575.3	P	0.000732
212483_at	11	11	278.4	P	0.000244
212484_at	11	11	605.0	P	0.014160
212485_at	11	11	522.0	P	0.001953
212486_s_at	11	11	139.7	P	0.000732
212487_at	11	11	11.9	A	0.780518
212488_at	11	11	11.2	A	0.665527
212489_at	11	11	3.1	A	0.850342
212490_at	11	11	152.4	P	0.014160
212491_s_at	11	11	245.8	P	0.014160
212492_s_at	11	11	225.7	P	0.008057
212493_s_at	11	11	718.5	P	0.001953
212494_at	11	11	137.5	P	0.037598
212495_at	11	11	383.6	P	0.005859
212496_s_at	11	11	775.4	M	0.056152
212497_at	11	11	62.6	A	0.303711
212498_at	11	11	1304.0	P	0.000244
212499_s_at	11	11	1430.1	P	0.000244
212500_at	11	11	450.9	P	0.000732
212501_at	11	11	8246.0	P	0.000244
212502_at	11	11	566.9	P	0.000244
212503_s_at	11	11	113.9	P	0.001221
212504_at	11	11	70.6	A	0.567627
212505_s_at	11	11	254.7	A	0.149658
212506_at	11	11	2319.1	P	0.000244
212507_at	11	11	2472.6	P	0.004150
212508_at	11	11	601.3	P	0.000244
212509_s_at	11	11	6559.4	P	0.000244
212510_at	11	11	85.1	A	0.274170
212511_at	11	11	507.1	P	0.000244
212512_s_at	11	11	370.9	P	0.018555
212513_s_at	11	11	1200.0	P	0.000732
212514_x_at	11	11	684.1	P	0.000244
212515_s_at	11	11	1788.7	P	0.000732
212516_at	11	11	355.3	P	0.014160
212517_at	11	11	1142.5	P	0.000244
212518_at	11	11	228.5	P	0.010742
212519_at	11	11	5258.7	P	0.000244
212520_s_at	11	11	459.4	P	0.001953
212521_s_at	11	11	300.0	P	0.001221
212522_at	11	11	697.5	P	0.000244
212523_s_at	11	11	233.0	P	0.000244
212524_x_at	11	11	34.0	A	0.246094
212525_s_at	11	11	64.8	A	0.246094
212526_at	11	11	1199.6	P	0.000244
212527_at	11	11	487.3	P	0.001221
212528_at	11	11	367.6	P	0.002930
212529_at	11	11	152.3	A	0.129639
212530_at	11	11	1852.9	P	0.000244
212531_at	11	11	363.6	P	0.004150
212532_s_at	11	11	704.8	P	0.000244
212533_at	11	11	1623.5	P	0.000732
212534_at	11	11	545.1	P	0.002930
212535_at	11	11	505.2	P	0.010742
212536_at	11	11	1061.2	P	0.000244
212537_x_at	11	11	11982.0	P	0.000244
212538_at	11	11	1221.7	P	0.000244
212539_at	11	11	778.9	P	0.000244
212540_at	11	11	599.6	P	0.000244
212541_at	11	11	299.4	P	0.004150
212542_s_at	11	11	650.5	P	0.002930
212543_at	11	11	3168.5	P	0.000244
212544_at	11	11	1244.9	P	0.000244
212545_s_at	11	11	18.3	A	0.601074
212546_s_at	11	11	1079.5	P	0.000244
212547_at	11	11	596.6	P	0.000732
212548_s_at	11	11	1019.4	P	0.001953
212549_at	11	11	364.8	P	0.018555
212550_at	11	11	159.9	A	0.067627
212551_at	11	11	74.2	P	0.014160
212552_at	11	11	670.2	P	0.001953
212553_at	11	11	368.2	P	0.014160
212554_at	11	11	216.4	P	0.008057
212555_at	11	11	35.7	A	0.500000
212556_at	11	11	987.4	P	0.002930
212557_at	11	11	416.8	P	0.000244
212558_at	11	11	130.3	P	0.001953
212559_at	11	11	53.3	A	0.274170
212560_at	11	11	3118.7	P	0.000244
212561_at	11	11	361.6	P	0.001953
212562_s_at	11	11	18.2	A	0.500000
212563_at	11	11	154.1	A	0.080566
212564_at	11	11	143.5	A	0.274170
212565_at	11	11	313.1	P	0.005859
212566_at	11	11	2855.3	P	0.000732
212567_s_at	11	11	667.1	P	0.005859
212568_s_at	11	11	676.7	P	0.000244
212569_at	11	11	332.3	P	0.000244
212570_at	11	11	291.7	P	0.002930
212571_at	11	11	299.8	P	0.018555
212572_at	11	11	1179.8	P	0.000244
212573_at	11	11	1678.9	P	0.000244
212574_x_at	11	11	129.7	A	0.303711
212575_at	11	11	3.6	A	0.943848
212576_at	11	11	162.2	A	0.095215
212577_at	11	11	156.7	P	0.000244
212578_x_at	11	11	12718.3	P	0.005859
212579_at	11	11	377.3	P	0.000244
212580_at	11	11	80.1	P	0.018555
212581_x_at	11	11	14097.5	P	0.000244
212582_at	11	11	601.3	P	0.000244
212583_at	11	11	125.9	A	0.067627
212584_at	11	11	458.2	P	0.000244
212585_at	11	11	1483.5	P	0.000244
212586_at	11	11	3627.9	P	0.000244
212587_s_at	11	11	4.1	A	0.665527
212588_at	11	11	32.7	A	0.067627
212589_at	11	11	1454.9	P	0.000244
212590_at	11	11	1990.1	P	0.000244
212591_at	11	11	1264.1	P	0.000244
212592_at	11	11	1.0	A	0.500000
212593_s_at	11	11	2934.1	P	0.000244
212594_at	11	11	1273.1	P	0.000244
212595_s_at	11	11	988.8	P	0.000732
212596_s_at	11	11	591.7	P	0.023926
212597_s_at	11	11	896.9	P	0.000244
212598_at	11	11	162.4	A	0.149658
212599_at	11	11	891.1	P	0.000244
212600_s_at	11	11	4988.0	P	0.000244
212601_at	11	11	252.1	P	0.008057
212602_at	11	11	352.9	P	0.008057
212603_at	11	11	741.2	P	0.001953
212604_at	11	11	570.3	P	0.008057
212605_s_at	11	11	665.4	P	0.000244
212606_at	11	11	401.0	P	0.005859
212607_at	11	11	916.3	P	0.000244
212608_s_at	11	11	843.4	P	0.000732
212609_s_at	11	11	423.5	P	0.018555
212610_at	11	11	3412.2	P	0.000244
212611_at	11	11	1001.3	P	0.000732
212612_at	11	11	1656.9	P	0.000244
212613_at	11	11	97.2	A	0.171387
212614_at	11	11	666.0	P	0.000244
212615_at	11	11	1025.8	P	0.000244
212616_at	11	11	957.8	P	0.000244
212617_at	11	11	163.1	A	0.246094
212618_at	11	11	23.9	A	0.725830
212619_at	11	11	73.6	M	0.056152
212620_at	11	11	82.5	A	0.149658
212621_at	11	11	133.1	M	0.056152
212622_at	11	11	897.3	P	0.000244
212623_at	11	11	1273.0	P	0.000244
212624_s_at	11	11	23.1	A	0.696289
212625_at	11	11	529.1	P	0.001953
212626_x_at	11	11	3823.3	P	0.000244
212627_s_at	11	11	1193.7	P	0.001953
212628_at	11	11	1047.6	P	0.000244
212629_s_at	11	11	358.0	P	0.018555
212630_at	11	11	303.9	P	0.001221
212631_at	11	11	898.6	P	0.000244
212632_at	11	11	273.7	P	0.000732
212633_at	11	11	1943.9	P	0.000244
212634_at	11	11	286.5	P	0.000732
212635_at	11	11	1519.4	P	0.000244
212636_at	11	11	215.0	P	0.010742
212637_s_at	11	11	636.2	P	0.000244
212638_s_at	11	11	742.7	P	0.000244
212639_x_at	11	11	8187.5	P	0.000244
212640_at	11	11	4340.1	P	0.000244
212641_at	11	11	365.9	P	0.001953
212642_s_at	11	11	731.3	P	0.004150
212643_at	11	11	2076.3	P	0.000244
212644_s_at	11	11	695.5	P	0.004150
212645_x_at	11	11	262.0	A	0.067627
212646_at	11	11	558.0	P	0.008057
212647_at	11	11	1400.1	P	0.000244
212648_at	11	11	648.2	P	0.000244
212649_at	11	11	129.7	P	0.010742
212650_at	11	11	112.7	A	0.171387
212651_at	11	11	154.9	P	0.030273
212652_s_at	11	11	486.5	P	0.000244
212653_s_at	11	11	1346.5	P	0.000244
212654_at	11	11	142.3	P	0.037598
212655_at	11	11	284.5	P	0.001221
212656_at	11	11	320.4	A	0.149658
212657_s_at	11	11	1743.3	P	0.000244
212658_at	11	11	677.1	P	0.000732
212659_s_at	11	11	163.1	M	0.056152
212660_at	11	11	615.7	P	0.001221
212661_x_at	11	11	14626.1	P	0.000244
212662_at	11	11	339.8	P	0.010742
212663_at	11	11	495.5	A	0.095215
212664_at	11	11	30.5	A	0.466064
212665_at	11	11	3592.8	P	0.000732
212666_at	11	11	792.6	P	0.000244
212667_at	11	11	1074.4	P	0.000244
212668_at	11	11	75.2	A	0.466064
212669_at	11	11	233.0	P	0.018555
212670_at	11	11	9.3	A	0.828613
212671_s_at	11	11	98.5	A	0.149658
212672_at	11	11	577.8	P	0.000244
212673_at	11	11	1747.1	P	0.000244
212674_s_at	11	11	297.0	P	0.000244
212675_s_at	11	11	350.3	P	0.000244
212676_at	11	11	537.1	P	0.001953
212677_s_at	11	11	122.1	P	0.014160
212678_at	11	11	327.7	P	0.005859
212679_at	11	11	65.1	M	0.056152
212680_x_at	11	11	1409.5	P	0.000732
212681_at	11	11	1.3	A	0.805420
212682_s_at	11	11	55.4	A	0.665527
212683_at	11	11	219.4	A	0.111572
212684_at	11	11	155.1	A	0.111572
212685_s_at	11	11	895.7	P	0.000244
212686_at	11	11	5.8	A	0.633789
212687_at	11	11	2861.0	P	0.000244
212688_at	11	11	675.0	P	0.000244
212689_s_at	11	11	714.0	P	0.000244
212690_at	11	11	886.4	P	0.000244
212691_at	11	11	233.9	A	0.111572
212692_s_at	11	11	1183.0	P	0.000244
212693_at	11	11	261.3	P	0.002930
212694_s_at	11	11	438.2	P	0.001953
212695_at	11	11	20.2	A	0.533936
212696_s_at	11	11	552.3	P	0.000244
212697_at	11	11	1422.7	P	0.000244
212698_s_at	11	11	4852.4	P	0.000244
212699_at	11	11	129.9	P	0.018555
212700_x_at	11	11	240.6	P	0.037598
212701_at	11	11	31.6	A	0.274170
212702_s_at	11	11	775.7	P	0.000244
212703_at	11	11	3.8	A	0.753906
212704_at	11	11	740.8	P	0.000244
212705_x_at	11	11	95.7	A	0.149658
212706_at	11	11	129.6	P	0.000244
212707_s_at	11	11	52.1	A	0.366211
212708_at	11	11	1062.1	P	0.000244
212709_at	11	11	424.2	P	0.000732
212710_at	11	11	389.1	P	0.001953
212711_at	11	11	571.9	P	0.001221
212712_at	11	11	557.8	P	0.008057
212713_at	11	11	9.5	A	0.976074
212714_at	11	11	623.4	P	0.001953
212715_s_at	11	11	469.0	P	0.030273
212716_s_at	11	11	4402.4	P	0.000244
212717_at	11	11	435.7	P	0.030273
212718_at	11	11	2105.7	P	0.000244
212719_at	11	11	195.5	P	0.000244
212720_at	11	11	345.9	P	0.000244
212721_at	11	11	1075.8	P	0.000244
212722_s_at	11	11	338.7	P	0.001221
212723_at	11	11	716.2	P	0.004150
212724_at	11	11	4106.8	P	0.000244
212725_s_at	11	11	1366.9	P	0.000244
212726_at	11	11	411.0	P	0.023926
212727_at	11	11	393.4	P	0.008057
212728_at	11	11	178.4	A	0.219482
212729_at	11	11	161.4	P	0.023926
212730_at	11	11	40.6	A	0.171387
212731_at	11	11	285.4	P	0.004150
212732_at	11	11	80.1	P	0.002930
212733_at	11	11	449.2	P	0.000244
212734_x_at	11	11	13737.6	P	0.000244
212735_at	11	11	149.3	P	0.014160
212736_at	11	11	277.7	P	0.005859
212737_at	11	11	9106.2	P	0.000244
212738_at	11	11	209.0	A	0.149658
212739_s_at	11	11	1028.4	P	0.000732
212740_at	11	11	349.9	P	0.000244
212741_at	11	11	3540.0	P	0.000244
212742_at	11	11	426.4	P	0.000732
212743_at	11	11	77.5	A	0.067627
212744_at	11	11	312.6	P	0.000244
212745_s_at	11	11	162.8	A	0.149658
212746_s_at	11	11	347.1	P	0.046143
212747_at	11	11	517.8	P	0.005859
212748_at	11	11	224.6	P	0.005859
212749_s_at	11	11	368.2	P	0.000732
212750_at	11	11	9.4	A	0.780518
212751_at	11	11	722.2	P	0.000732
212752_at	11	11	1074.1	P	0.000244
212753_at	11	11	497.5	P	0.000732
212754_s_at	11	11	436.5	P	0.000244
212755_at	11	11	44.0	A	0.095215
212756_s_at	11	11	334.1	P	0.000244
212757_s_at	11	11	450.7	P	0.010742
212758_s_at	11	11	89.6	A	0.149658
212759_s_at	11	11	8.0	A	0.850342
212760_at	11	11	594.4	P	0.001953
212761_at	11	11	1643.8	P	0.018555
212762_s_at	11	11	237.6	P	0.000244
212763_at	11	11	447.7	P	0.000244
212764_at	11	11	36.1	P	0.008057
212765_at	11	11	1698.2	P	0.000244
212766_s_at	11	11	605.0	P	0.005859
212767_at	11	11	137.8	A	0.171387
212768_s_at	11	11	2.6	A	0.753906
212769_at	11	11	188.5	P	0.000732
212770_at	11	11	170.3	A	0.171387
212771_at	11	11	284.9	P	0.023926
212772_s_at	11	11	190.7	P	0.023926
212773_s_at	11	11	3692.6	P	0.000244
212774_at	11	11	445.7	P	0.000732
212775_at	11	11	210.8	P	0.000244
212776_s_at	11	11	114.1	A	0.219482
212777_at	11	11	103.2	P	0.023926
212778_at	11	11	400.4	P	0.018555
212779_at	11	11	1312.2	P	0.000244
212780_at	11	11	334.1	P	0.000244
212781_at	11	11	1214.8	P	0.000732
212782_x_at	11	11	1327.9	P	0.000732
212783_at	11	11	766.7	P	0.000244
212784_at	11	11	320.9	P	0.001953
212785_s_at	11	11	611.8	P	0.000244
212786_at	11	11	215.1	P	0.004150
212787_at	11	11	879.9	P	0.000732
212788_x_at	11	11	11662.2	P	0.000244
212789_at	11	11	281.1	P	0.004150
212790_x_at	11	11	17481.5	P	0.000244
212791_at	11	11	239.1	P	0.004150
212792_at	11	11	308.6	P	0.002930
212793_at	11	11	129.6	A	0.432373
212794_s_at	11	11	232.4	P	0.000244
212795_at	11	11	1209.5	P	0.000244
212796_s_at	11	11	709.8	P	0.000732
212797_at	11	11	87.2	A	0.194580
212798_s_at	11	11	348.9	P	0.000244
212799_at	11	11	1350.6	P	0.000244
212800_at	11	11	527.1	P	0.001953
212801_at	11	11	308.8	P	0.023926
212802_s_at	11	11	674.2	P	0.000244
212803_at	11	11	366.7	A	0.095215
212804_s_at	11	11	397.2	P	0.000244
212805_at	11	11	43.4	A	0.274170
212806_at	11	11	25.8	A	0.129639
212807_s_at	11	11	146.2	P	0.037598
212808_at	11	11	190.9	P	0.000244
212809_at	11	11	487.1	P	0.005859
212810_s_at	11	11	121.5	A	0.067627
212811_x_at	11	11	369.5	P	0.000732
212812_at	11	11	1685.9	P	0.000244
212813_at	11	11	145.8	P	0.046143
